	Das Gilgamesh-epos	Beck
Lord Dusany	Das Land des Yann	Büchergilde
Lovecraft, H.P.	At the Mointains of Madness	Penguin
Machen, Arthur	Die Leuchtende Pyramide	Büchergilde
Machiavelli, Nicolo	Der Fürst	Inselverlag
Malouf, David	Die tapfersten der Söhne	Büchergilde
Mandelstam, Ossip	Im Luftgrab	Fischer
Mann, Thomas	Doktor Faustus	Fischer
Mann, Thomas	Zauberberg	Fischer
Mansfeld, Jaap	Die Vorsokratiker II	Reclam
Marai, Sandor	Die Glut	Piper
Marai, Sandor	Die Nacht vor der Scheidung	Buechergilde
Marcuse, Herbert	Counterrevolution and Revolt	Beacon Press
Marcuse, Herbert	Kultur und Gesellschaft	Suhrkamp
Marcuse, Herbert	One-dimensional Man	Beacon Press
Marlowe, Christopher	Dr. Faustus	Digireads
Martel, Yann	Schiffbruch mit Tiger	Fischer
Marx, Karl	Das Kapital	Anaconda
Marx, Karl und Engels, Friedrich	Manifest der Kommunistischen Partei	reclam
Marx, Karl und Engels, Friedrich	Marx Engels Werke 23 - Das Kapital I	Dietz
Marx, Karl und Engels, Friedrich	Marx Engels Werke 4	Dietz
Melville, Herman	Moby Dick	Penguin
Menasse, Robert	Die Hauptstadt	Suhrkamp
Menasse, Robert	Die Vertreibung aus der Hölle	Suhrkamp
Menasse, Robert	Don Juan de la Manche	Büchergilde
Menasse, Robert	Selige Zeiten, Brüchige Welt	Suhrkamp
Meyer, Conrad Ferdinand	Die Versuchung des Pescara	reclam
Meyrink, Gustav	Der Kardinal Napellus	Buechergilde
Mill, John Stuart	Betrachtungen über die Repräsentativregierung	Suhrkamp
Mill, John Stuart	Über die Freiheit	reclam
Miller, Arthur	Death of a Salesman	reclam
Miller, David	Karl Popper Lesebuch	UTB
Milton, John	Paradise Lost	Signet
Moliere	Der Geizige	reclam
Moliere	Der Menschenfeind	Insel
Moliere	Der eingebildete Kranke	reclam
Morgenstern, Christian	Alle Galgenieder	Buechergilde
Morgenstern, Susi	Die Farben des Lebens	Bertelsmann
Musil, Robert	Der Mann ohne Eigenschaften	rororo
Musil, Robert	Die Verwirrungen des Zöglings Törless	rororo
Müller, Hertha	Heute wäre ich mir lieber nicht begegnet	Fischer
Nabokov, Wladimir	Lolita	rororo
Nagel, Thomas	Das letzte Wort	reclam
Nagel, Thomas	Die Grenzen der Objektivität	reclam
Nagel, Thomas	Was Bedeutet das alles?	reclam
Nietzsche, Friedrich	Also sprach Zarathustra	Anaconda
Nietzsche, Friedrich	Also sprach Zarathustra	Atlas
Nietzsche, Friedrich	Ecce Homo	dtv
Nietzsche, Friedrich	Kritische Studienausgabe I	dtv
Nietzsche, Friedrich	Kritische Studienausgabe II	dtv
Nietzsche, Friedrich	Kritische Studienausgabe III	dtv
Nietzsche, Friedrich	Kritische Studienausgabe IV	dtv
